country,Children_per_Woman,Life_Expectancy,Child_Mortality,Income_per_Person,co2_per_Person
Afghanistan,4.18,64.7,60.1,1760,0.254
Albania,1.7,78.7,8.68,12700,1.59
Algeria,2.59,78.5,22.8,14000,3.69
Antigua and Barbuda,2.02,65.7,6.25,5540,5.88
Argentina,2.25,77.3,9.66,17500,4.41
Armenia,1.59,76.2,12.1,9730,1.89
Australia,1.82,83,3.59,45500,16.9
Austria,1.53,82.3,3.37,46900,7.75
Azerbaijan,2.02,71.3,20.7,16200,3.7
Bahamas,1.74,74.3,9.88,28800,4.7
Bahrain,1.96,80,6.89,42000,19.8
Bangladesh,2.02,74.2,28.9,4140,0.531
Barbados,1.8,77.6,11.9,16600,4.48
Belarus,1.72,74.8,3.35,18000,6.93
Belgium,1.8,82,3.51,43500,8.69
Belize,2.41,74.7,12.7,7820,1.5
Benin,4.77,65.9,90.9,2230,0.623
Bhutan,1.96,75.3,28.5,9710,1.61
Bolivia,2.77,73.8,26.1,7150,1.96
Bosnia and Herzegovina,1.41,77.3,5.66,13100,6.53
Botswana,2.6,70.2,35.6,16800,2.96
Brazil,1.69,76.3,13.9,14300,2.18
Brunei,1.84,75.9,11.3,72400,18.5
Bulgaria,1.6,75.4,6.76,20200,6.32
Burkina Faso,5.11,63.3,74,1810,0.198
Burundi,5.45,62.9,56.7,644,0.0467
Cambodia,2.47,70.9,27,4080,0.64
Cameroon,4.51,64.5,73.9,3400,0.323
Canada,1.56,82.5,4.94,44200,15.3
Cape Verde,2.24,76.6,18.8,6910,1.16
Central African Republic,4.65,53.6,113,794,0.0651
Chad,5.65,61.2,117,1740,0.0656
Chile,1.75,80.3,7.03,23000,4.59
China,1.64,77.9,8.34,17100,7.06
Colombia,1.8,80.8,13.8,13600,1.96
Comoros,4.14,69.5,66.2,2480,0.263
"Congo, Dem. Rep.",5.82,63.6,86.2,838,0.0243
"Congo, Rep.",4.48,63.7,48.7,5100,0.617
Costa Rica,1.74,80.2,8.47,15800,1.61
Cote d'Ivoire,4.72,64,78.9,3910,0.335
Croatia,1.44,79.1,4.57,24500,4.48
Cuba,1.72,78.8,4.9,8130,2.53
Cyprus,1.33,82.3,2.3,34500,6.3
Czech Republic,1.59,79.8,3.29,34100,9.94
Denmark,1.77,81.3,4.1,48300,6.06
Djibouti,2.67,69.3,55.5,3600,0.672
Dominican Republic,2.34,73.8,28.3,16400,2.34
Ecuador,2.41,77.6,13.9,10200,2.46
Egypt,3.1,71.3,20.5,11400,2.43
El Salvador,2.02,74.9,13.1,7510,1.11
Equatorial Guinea,4.43,67,83.1,19200,4.35
Eritrea,3.92,64.1,39.8,1390,0.215
Estonia,1.67,78.8,2.5,32000,14.8
Eswatini,2.94,62.7,52.5,9560,1.06
Ethiopia,3.86,69.9,53,1900,0.137
Fiji,2.45,68.5,25.3,9990,2.41
Finland,1.78,82.1,1.63,42400,8.52
France,1.97,83.3,3.94,40000,5.2
Gabon,3.59,69.5,43.5,16200,2.53
Gambia,5.22,67.1,56.8,1570,0.268
Georgia,1.97,73.5,9.37,10700,2.64
Germany,1.48,81.2,3.46,46200,9.14
Ghana,3.81,66.7,46.2,4430,0.615
Greece,1.3,81.7,4.37,25700,7.03
Grenada,2.04,74.2,15.2,14300,2.43
Guatemala,2.82,73.5,25.2,7610,1.07
Guinea,4.62,62.3,97.3,2420,0.256
Guinea-Bissau,4.41,61.3,79.1,1630,0.181
Guyana,2.44,69.7,29.3,7930,3.12
Haiti,2.77,66.3,63.1,1640,0.27
Honduras,2.35,74.7,17.1,4630,1.04
Hungary,1.41,77.5,4.12,29600,5.14
Iceland,1.91,83.3,1.92,47900,10.8
India,2.26,69.9,35.2,7230,1.96
Indonesia,2.29,72.3,24.1,12100,2.3
Iran,1.59,78.2,13.9,16100,8.81
Iraq,4.19,77.4,25.9,15700,5.32
Ireland,1.98,82.6,3.42,72400,8.09
Israel,2.89,83.6,3.58,34100,7.67
Italy,1.51,83.8,2.93,35800,5.58
Jamaica,1.97,75.1,14.1,8310,2.79
Japan,1.5,84.8,2.41,39700,9.14
Jordan,3.18,79.9,15.7,8350,2.42
Kazakhstan,2.54,73.2,9.28,25400,17.6
Kenya,3.68,67.2,39.8,3160,0.36
Kiribati,3.53,63.3,51,2050,0.601
Kuwait,1.94,83.5,7.63,64100,23.7
Kyrgyz Republic,2.86,73.3,18.4,3500,1.6
Lao,2.54,68.8,45.5,6940,2.74
Latvia,1.59,75.7,3.74,27300,3.73
Lebanon,1.7,78.2,7.39,11700,3.53
Lesotho,2.95,57,78.5,2920,1.26
Liberia,4.38,65.8,69,1140,0.324
Libya,2.16,73.7,11.6,14800,8.09
Lithuania,1.68,75.8,3.95,32400,4.84
Luxembourg,1.61,82.3,2.36,94300,15.9
Madagascar,4.02,64.9,51.1,1490,0.163
Malawi,4.38,65,47.3,1180,0.0762
Malaysia,1.98,75.3,7.58,29100,8.08
Maldives,1.98,82.7,8.24,14300,2.96
Mali,5.79,63.6,95,2100,0.187
Malta,1.49,81.6,6.81,39300,3.61
Mauritania,4.49,71.5,73.8,3890,0.605
Mauritius,1.42,75.3,15.1,21800,3.83
Mexico,2.09,75.8,12.5,18000,3.79
Moldova,1.23,73.3,15.3,6720,1.27
Mongolia,2.63,69.7,15.7,12800,8.88
Montenegro,1.65,77,2.45,17800,3.2
Morocco,2.38,74.8,21.5,7770,1.84
Mozambique,5.05,60.8,70.6,1170,0.281
Myanmar,2.15,69.5,44.9,6270,0.491
Namibia,3.24,67.9,38.2,9700,1.75
Nepal,2.02,72.1,31,2880,0.337
Netherlands,1.75,82.1,3.68,50500,9.48
New Zealand,1.96,82.2,5.61,36500,7.34
Nicaragua,2.12,79.7,17.9,4620,0.862
Niger,7.07,63.9,80.5,954,0.103
Nigeria,5.32,66,117,5300,0.65
North Korea,1.88,72.7,17.4,1720,1.18
North Macedonia,1.56,77,9.86,13900,3.49
Norway,1.83,82.9,2.45,66300,8.31
Oman,2.46,78,10.9,35800,13.9
Pakistan,3.29,67.5,67.9,5000,1.05
Palestine,3.82,77.5,19.8,4670,0.661
Panama,2.43,80,14.9,23300,2.62
Papua New Guinea,3.52,59.3,46.4,3930,0.911
Paraguay,2.4,76.6,19.8,12000,1.07
Peru,2.31,81.2,13.9,13000,1.74
Philippines,2.84,70.3,27.8,8260,1.27
Poland,1.29,78.7,4.27,29900,9.07
Portugal,1.24,82.2,3.61,29300,4.97
Qatar,1.85,80.7,6.66,113000,38
Romania,1.55,75.7,7.07,25500,3.8
Russia,1.77,72.8,6.81,25700,11.7
Rwanda,3.67,69.7,33.6,2110,0.0913
Samoa,3.83,73.4,15.4,6240,1.32
Sao Tome and Principe,4.27,67.7,30.2,3050,0.587
Saudi Arabia,2.42,77.4,6.75,48100,18.4
Senegal,4.55,69.2,42,3460,0.739
Serbia,1.63,76.3,5.34,16700,5.17
Seychelles,2.23,73.9,14.2,27800,6.75
Sierra Leone,4.17,62.1,102,1460,0.141
Singapore,1.27,85.4,2.7,90100,7.1
Slovak Republic,1.48,78,5.42,32100,6.61
Slovenia,1.65,81.7,2.1,33700,6.95
Solomon Islands,3.69,69.1,19.5,2150,0.273
Somalia,5.98,59.8,119,631,0.0466
South Africa,2.38,67.4,32.9,12000,8.1
South Korea,1.35,83.3,3.03,37300,12.9
South Sudan,4.62,60.3,97.6,1860,0.171
Spain,1.41,83.6,2.93,35700,5.75
Sri Lanka,2.01,78.1,7.2,12100,1.1
St. Lucia,1.43,76.1,16.3,12500,2.31
St. Vincent and the Grenadines,1.87,72.8,15.9,11200,2.03
Sudan,4.35,71.3,59.1,4510,0.504
Suriname,2.3,72.5,18.4,13900,3.1
Sweden,1.91,83.1,2.62,47200,4.12
Switzerland,1.56,84.5,4.01,59000,4.33
Syria,2.77,73.3,15.8,2900,1.67
Tajikistan,3.22,71.2,33.6,3150,0.603
Tanzania,4.83,68.4,51.3,2980,0.222
Thailand,1.44,79,8.77,17400,4.15
Timor-Leste,5.17,71.7,44.2,7050,0.412
